Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
28.4,66.1,35.2,50.0,24.8,7.8,1.2,6.5,311.0
34.2,67.0,12.5,24.2,23.8,6.9,1.51,5.6,518.0
36.6,93.3,46.6,54.0,29.8,19.6,2.12,4.7,624.0
21.5,,4.2,10.4,22.1,-0.1,0.95,10.9,447.0
22.1,79.6,1.6,4.1,20.1,3.8,1.02,14.7,376.0
31.5,89.3,5.7,16.1,19.6,2.9,1.59,7.5,424.0
34.2,99.4,8.9,32.0,32.3,7.9,1.71,3.3,601.0
23.4,42.5,1.9,6.4,20.6,4.3,1.19,11.3,493.0
29.4,73.1,11.7,28.0,24.5,13.2,1.51,8.0,459.0
30.1,77.9,2.7,4.7,11.4,3.4,0.96,11.5,235.0
