Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
34.0,60.0,28.4,38.5,26.8,14.4,2.1,3.7,391.0
33.5,78.0,9.1,30.0,38.1,10.9,2.08,3.7,539.0
26.9,63.4,4.7,10.2,19.4,7.5,1.03,11.0,368.0
29.5,79.8,12.8,error_value,33.2,13.3,1.1,5.9,389.0
24.6,76.5,13.9,21.6,20.0,5.9,1.11,10.8,414.0
32.5,72.1,26.5,42.4,35.3,2.0,1.94,5.6,510.0
30.8,88.9,27.8,32.7,31.2,13.5,1.68,5.6,494.0
32.2,66.7,22.8,34.7,29.6,17.6,2.69,9.1,441.0
28.1,96.9,6.9,25.0,25.3,10.8,1.54,5.7,709.0
32.7,88.6,21.4,45.0,28.7,11.7,1.96,6.0,482.0
