Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
32.0,75.0,2.5,12.8,32.3,4.3,1.39,5.6,546.0
35.5,82.5,2.5,13.1,21.4,11.7,1.33,6.2,692.0
34.4,77.4,43.8,68.2,45.2,9.8,3.31,2.8,737.0
26.3,74.5,12.7,18.3,21.1,1.1,1.01,13.1,365.0
32.8,90.8,3.6,15.0,33.4,25.2,1.6,4.0,643.0
29.4,75.1,11.9,20.3,26.6,9.1,1.04,20.0,443.0
22.2,75.7,19.0,20.7,20.1,5.3,1.03,10.7,316.0
40.6,74.1,116.0,126.7,45.5,25.7,2.11,2.8,765.0
23.5,50.8,0.6,6.7,13.3,3.1,0.95,14.1,564.0
20.5,71.3,4.6,9.7,19.5,7.4,1.07,11.4,298.0
