Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
24.8,39.8,58.4,68.2,26.5,3.7,0.93,16.5,397.0
35.6,95.7,13.9,30.0,37.6,12.1,2.0,12.3,552.0
33.8,71.4,35.9,59.1,36.1,15.0,1.74,3.6,619.0
43.1,116.3,104.3,136.6,36.6,15.8,3.72,5.4,688.0
26.1,error_value,0.0,5.9,18.7,9.7,0.82,10.4,556.0
34.2,106.5,32.9,49.0,26.7,18.9,2.08,8.4,770.0
29.3,error_value,1.5,1.9,13.1,3.5,1.07,10.6,455.0
24.2,56.3,9.6,16.3,15.3,5.0,1.04,12.9,387.0
25.7,63.6,11.8,21.3,31.8,10.9,1.62,7.0,492.0
27.7,51.3,0.5,22.9,29.1,14.0,1.68,3.8,470.0
